*,PA3
a,EY
alarm,AX LL AR MM
alan,AE DELAY100 EL EH DELAY100 DELAY100 NN1
april,EY PA3 PP RR2 IH IH LL
ate,EY PA3 TT2
august,AO AO PA2 GG2 AX SS PA3 TT1
b,BB2 IY
bathe,BB2 EY DH2
bather,BB2 EY DH2 ER1
bathing,BB2 EY DH2 IH NG
beer,BB2 YR
bread,BB1 RR2 EH EH PA1 DD1
by,BB2 AA AY
c,SS SS IY
calendar,KK1 AE AE LL EH NN1 PA2 DD2 ER1
check,CH EH EH PA3 KK2
checked,CH EH EH PA3 KK2 PA2 TT2
checker,CH EH EH PA3 KK1 ER1
checkers,CH EH EH PA3 KK1 ER1 ZZ
checking,CH EH EH PA3 KK1 IH NG
checks,CH EH EH PA3 KK1 SS
chillax,CH IH PA3 LL DELAY100 DELAY100 PA1 AE KK1 SS
clay,KK1 LL EY DELAY100
clock,KK1 LL AA AA PA3 KK2
clown,KK1 LL AW NN1
cognitive,KK3 AA AA GG3 NN1 IH PA3 TT2 IH VV
collide,KK3 AX LL AY DD1
computer,KK1 AX MM PP YY1 UW1 TT2 ER1
cookie,KK3 UH KK1 IY
coop,KK3 UW2 PA3 PP
correct,KK1 ER2 EH EH PA2 KK2 PA2 TT1
corrected,KK1 ER2 EH EH PA2 KK2 PA2 TT2 IH PA2 DD1
correcting,KK1 ER2 EH EH PA2 KK2 PA2 TT2 IH NG
corrects,KK1 ER2 EH EH PA2 KK2 PA2 TT1 SS
crown,KK1 RR2 AW NN1
d,DD2 IY
date,DD2 EY PA3 TT2
daughter,DD2 AO TT2 ER1
day,DD2 EH EY
december,DD2 IY SS SS EH EH MM PA1 BB2 ER1
divided,DD2 IH VV AY PA2 DD2 IH PA2 DD1
dude,DD2 UW2 DELAY100 DELAY100 DELAY100 DELAY100 DD2
e,IY
eight,EY PA3 TT2
eighteen,EY PA2 PA3 TT2 IY NN1
eighty,EY PA3 TT2 IY
eleven,IH LL EH EH VV IH NN1
emotional,IY MM OW SH AX NN1 AX EL
engage,EH EH PA1 NN1 GG1 EY PA2 JH
engagement,EH EH PA1 NN1 GG1 EY PA2 JH MM EH EH NN1 PA2 PA3 TT2
engages,EH EH PA1 NN1 GG1 EY PA2 JH IH ZZ
engaging,EH EH PA1 NN1 GG1 EY PA2 JH IH NG
enrage,EH NN1 RR1 EY PA2 JH
enraged,EH NN1 RR1 EY PA2 JH PA2 DD1
enrages,EH NN1 RR1 EY PA2 JH IH ZZ
enraging,EH NN1 RR1 EY PA2 JH IH NG
escape,EH SS SS PA3 KK1 PA2 EY PP
escaped,EH SS SS PA3 KK1 PA2 EY PP PA2 TT2
escapes,EH SS SS PA3 KK1 PA2 EY PP SS
escaping,EH SS SS PA3 KK1 PA2 EY PP IH NG
equal,IY PA2 PA3 KK3 WH AX EL
equals,IY PA2 PA3 KK3 WH AX EL ZZ
error,EH XR OR
extend,EH KK1 SS TT2 EH EH NN1 DD1
f,EH EH FF FF
february,FF EH EH PA1 BB1 RR2 UW2 XR IY
fifteen,FF IH FF PA2 PA3 TT2 IY NN1
fifty,FF FF IH FF FF PA2 PA3 TT2 IY
fir,FF ER2
five,FF FF AY VV
for,FF FF OR
fore,FF FF OR
forty,FF OR PA3 TT2 IY
four,FF FF OR
fourteen,FF OR PA2 PA3 TT2 IY NN1
freeze,FF FF RR1 IY ZZ
freezer,FF FF RR1 IY ZZ ER1
freezers,FF FF RR1 IY ZZ ER1 ZZ
freezing,FF FF RR1 IY ZZ IH NG
friday,FF RR2 AY PA2 DD2 EY
frozen,FF FF RR1 OW ZZ EH NN1
g,JH IY
gauge,GG1 EY PA2 JH
gauged,GG1 EY PA2 JH PA2 DD1
gauges,GG1 EY PA2 JH IH ZZ
gauging,GG1 EY PA2 JH IH NG
h,EY PA2 PA3 CH
hello,HH2 EH LL AX OW
hour,AW ER1
hundred,HH2 AX AX NN1 PA2 DD2 RR2 IH IH PA1 DD1
i,AA AY
infinitive,IH NN1 FF FF IH IH NN1 IH PA2 PA3 TT2 IH VV
intrigued,IH NN1 PA3 TT2 RR2 IY PA1 GG3 PA2 DD1
intrigues,IH NN1 PA3 TT2 RR2 IY PA1 GG3 ZZ
intriguing,IH NN1 PA3 TT2 RR2 IY PA1 GG3 IH NG
